Department,Year,Budget,Actual Expenditure,Personnel Costs,Operational Costs,Capital Expenditures,Overtime Costs,Travel and Training,Supplies and Materials,Maintenance Costs,Revenue Generated,Efficiency Metrics,Notes
Marketing,2022,478670,71292,80285,28073,13127,17199,8498,24836,19015,79902,1.0957831535431204,-
IT,2024,148537,148537,38866,80207,46978,18082,7769,28696,19820,7229,0.7404081247692494,High overtime costs
Marketing,2022,374816,212948,158665,40365,20646,12538,14986,10925,5082,70876,1.1708344012700969,High overtime costs
IT,2024,339372,241799,29495,65928,30355,11108,1427,23205,14503,40294,0.7110986028350187,-
Marketing,2022,64429,64429,27837,84453,23208,7362,3102,11431,12963,93776,1.1231982681298294,Increased maintenance
HR,2024,134294,64817,169752,17784,27713,10234,17839,5988,10990,68990,0.7951963594345082,Additional training expenses
HR,2024,427721,59759,50346,22291,37267,5691,1346,29789,18800,3816,0.8932660608929912,-
Operations,2022,234087,229504,128621,94462,8864,1953,8820,21915,16531,5637,0.9502905885321118,Additional training expenses
HR,2022,400218,318556,43412,36154,15661,4963,17598,7917,10752,34128,0.5931757943946556,High overtime costs
HR,2024,381080,332648,138833,35650,37559,5986,1961,11885,16886,5974,0.5259779813720297,Additional training expenses
HR,2023,261979,261979,181876,78741,15322,7752,19379,8619,11222,49715,0.7987602012081144,Increased maintenance
IT,2022,369522,320651,85206,46201,11710,11445,4612,15410,17123,39069,0.6122495663963238,Additional training expenses
HR,2023,87310,71050,30934,49479,36362,4991,9739,18574,16639,22540,0.8842536715348569,-
HR,2022,151827,151827,50723,82920,37380,8447,5690,11564,8668,13497,0.8175493647054835,-
Operations,2022,249899,249899,147968,92797,46284,1931,15168,8060,6615,49885,0.5854683360310428,-
HR,2022,478472,150153,171477,60243,19386,17495,13107,19826,9246,25328,0.9660495328615144,Additional training expenses
HR,2022,257500,257500,169820,78595,18338,872,19242,20231,15995,59700,0.5143463521043387,-
Marketing,2023,149862,149862,197485,41734,20316,7954,17145,7524,18017,95228,0.5884683146693392,Additional training expenses
Operations,2022,351033,107732,173426,98927,29463,17945,5458,17607,7062,54326,0.9901149545912715,Additional training expenses
Operations,2024,363572,101921,141988,91451,15203,5526,10033,22073,17388,84894,0.8694987938505179,-
Operations,2024,422646,422646,168460,52568,9888,12920,8047,17944,13971,3986,0.6973530774746499,Increased maintenance
Operations,2023,480423,167734,56523,35793,33192,5560,4902,18115,12555,43675,0.6261722914647081,-
Operations,2022,100255,100255,121150,62204,16325,15389,1496,6100,6058,67321,0.9495986111578965,High overtime costs
Operations,2024,417968,187912,140950,56746,24088,9085,9435,13310,7398,16268,0.6439176654978168,High overtime costs
IT,2023,272603,81440,186804,41989,14386,7715,4582,15960,16196,80381,1.1892277558225934,Increased maintenance
HR,2022,317553,85183,61646,59465,44028,19068,2043,10301,7330,19017,1.1085178545895356,High overtime costs
Operations,2024,92438,92438,172093,71383,16267,9438,3376,29201,17924,65084,0.5925105648723045,Increased maintenance
HR,2024,291482,183461,72776,26767,36809,17130,8708,19972,6759,39848,1.101406794060717,Additional training expenses
HR,2023,291310,291310,39116,48652,20419,5243,17218,23584,18984,51244,0.7415299471955941,High overtime costs
IT,2022,311084,164515,132858,93732,30480,6826,17007,14233,17812,40582,0.8429872741482181,Increased maintenance
Operations,2022,320013,320013,96620,94244,7904,4085,17431,16327,17452,14033,0.5999770066066569,-
Marketing,2024,237934,237934,195843,23383,49260,6117,17948,5496,5427,42765,0.5830005689135923,High overtime costs
IT,2024,338102,270533,179828,80784,38891,17390,14891,9174,10377,11555,1.1058450762435983,High overtime costs
Marketing,2024,257374,165503,102604,70089,18430,9082,5440,29634,10029,94471,0.9409315687235891,Increased maintenance
HR,2022,462984,89023,114452,36440,19999,10683,496,10530,8876,89355,0.8223227070117456,Additional training expenses
HR,2023,277402,231101,153991,62443,28319,14884,10455,20098,15682,27631,0.5253146994614468,Increased maintenance
IT,2023,207217,207217,43550,66325,25700,2876,16926,28353,19961,50400,1.1453733910699873,Increased maintenance
IT,2022,387766,387766,187596,96766,32633,18410,915,16324,7116,28902,0.7632617589928403,High overtime costs
Marketing,2023,76442,76442,90227,65919,24108,5556,18185,6653,15513,1725,0.7916544194179809,Increased maintenance
Operations,2024,131948,131948,43212,26611,45889,5241,11274,12246,5559,51853,0.7028666705738421,-
Marketing,2023,304657,126054,60118,73483,29055,15906,16465,19060,18136,80573,1.1239030139258572,Increased maintenance
IT,2023,337740,337740,48602,32457,23642,14914,13281,18799,10441,83460,0.7412093381024993,-
Marketing,2023,125791,111742,37540,20256,8646,5669,1179,21627,19256,40039,0.6219745155011692,-
IT,2024,92406,92406,186901,64856,18173,5399,10447,23639,14577,62564,0.8503900364471113,Increased maintenance
Marketing,2022,90524,90524,91455,50533,12025,8933,2071,11999,7617,61055,1.0470448615142836,Additional training expenses
IT,2024,204404,204404,42277,38281,17549,13648,8998,18398,15146,76080,0.7599369334413517,-
IT,2022,160160,160160,139133,77275,19853,19392,16715,11743,5589,93944,0.9564323000134616,-
IT,2022,196836,196836,168748,11525,46757,10168,13873,7692,5498,8173,0.7129570121751,-
Operations,2022,208635,208635,193916,26453,34952,7495,7145,11073,11347,38856,1.0038336169789626,Additional training expenses
Marketing,2023,217442,217442,29752,16251,16326,15605,9726,13230,12904,99106,0.9681067115083936,Increased maintenance
Marketing,2023,317206,153591,191742,29507,8463,14204,14576,8247,16014,45506,0.9765283609958268,Additional training expenses
Marketing,2022,94645,94645,182550,89396,32163,19295,1589,28005,14721,5388,0.9521353498158176,Increased maintenance
IT,2022,434903,96229,177511,96644,37600,6897,18870,22999,14830,23923,0.6094186332336288,-
Marketing,2023,319388,319388,185819,37906,19075,11276,18974,5019,14324,56228,1.1215936892724359,High overtime costs
Marketing,2024,449588,423850,145332,83185,33709,5485,8679,21604,12432,97317,0.9100269131043448,-
IT,2022,286481,112583,180882,23193,48315,5838,8803,19160,10956,99205,0.7676709420149596,Increased maintenance
HR,2024,307320,305931,38302,91449,42709,17157,19804,19610,9483,6876,0.6206347088467171,Additional training expenses
IT,2023,135501,135501,86236,74042,21010,2144,15290,25155,13607,86078,1.0485067699927093,-
Marketing,2022,167450,167450,84467,69516,5897,14406,9589,12321,9996,18172,0.8563338053982152,-
IT,2024,245543,245543,122350,91165,46012,9184,7214,11606,6591,86520,0.6031051567467244,Increased maintenance
HR,2024,291605,290660,185913,40692,5605,5980,17840,12576,9407,31664,1.1449945990123382,Increased maintenance
IT,2024,329100,329100,195785,80490,41445,14692,10385,29826,19587,67235,0.574257701562413,High overtime costs
Marketing,2023,483689,315808,23048,43512,42315,14879,15889,20837,19323,55830,0.8669548368073721,-
HR,2023,457110,322672,184362,20719,13652,11513,9529,12828,8883,76878,0.9274069777531384,-
Operations,2024,250658,209262,78906,65427,37229,12034,15323,17706,6607,5749,1.1992892166030211,-
Marketing,2024,66709,66709,96637,37649,35530,8141,15440,21890,8724,58552,0.5986409968337547,High overtime costs
HR,2023,262330,254249,49778,22402,43024,15323,10392,9741,12555,10734,0.9294921380810498,High overtime costs
HR,2024,430572,178404,178497,19216,25414,19621,4497,20562,14907,1594,0.8337010561355503,-
Operations,2024,327354,251664,140918,41050,32903,8195,19251,9587,5202,85361,0.679980209063364,Increased maintenance
IT,2023,492726,345043,110036,60093,19730,8356,4583,27822,8854,15238,1.1595471188988953,Additional training expenses
IT,2024,414225,383123,163746,15050,42924,12631,10328,27984,17151,50990,1.0535905781432615,-
Marketing,2024,219746,67241,184125,56716,43541,1897,16238,14361,13301,45819,1.043940450146037,-
Operations,2024,150025,150025,31957,12438,32898,11432,6345,10357,17369,28248,1.1294302317255043,-
IT,2023,460949,113472,92644,57431,48654,18951,14674,22123,18907,40676,1.0075308438038793,Increased maintenance
Operations,2024,201152,201152,133294,26760,20930,8130,16462,14982,5768,2902,0.8547176226764647,High overtime costs
IT,2023,234484,81346,37829,87614,8518,11699,5652,13615,19528,47434,0.774075553513967,Additional training expenses
HR,2023,436620,131196,25837,26473,35982,2559,16761,8055,5138,7405,0.9928934688744053,Additional training expenses
IT,2022,240043,240043,166104,53815,11775,14744,16548,25771,5220,39815,0.9219682619262426,High overtime costs
Operations,2022,482925,258196,119770,72460,28990,9530,11176,23587,12356,18723,0.8800135336808701,-
HR,2024,371990,371990,46352,19257,10378,16996,5941,15175,14052,4521,0.91234000517177,-
HR,2023,115480,115480,50215,97986,44441,13187,1146,25306,8927,49651,0.9587433148335991,Additional training expenses
HR,2022,292840,199014,61247,35634,11444,18268,15958,23341,7387,85547,1.1780929348844402,Additional training expenses
Operations,2024,365104,361311,149692,70403,19176,3134,15561,17530,7525,9036,1.0272106431166335,-
Marketing,2022,284622,284622,194120,56573,30060,18006,2216,26710,10054,64140,0.6235028818573749,Increased maintenance
Marketing,2022,484368,379287,86714,38648,14379,16375,15429,20787,14637,9252,0.826738144505965,-
Marketing,2023,470466,170623,55319,58980,41495,19666,5449,6789,11956,54797,0.9747691731527155,Increased maintenance
Operations,2023,397909,397909,139058,20296,32568,18994,17847,20307,6609,51833,0.6229577538912426,-
HR,2022,167265,52016,36025,70197,27765,14910,19854,27785,19533,42380,1.1528945956010959,Additional training expenses
Marketing,2022,360281,360281,29780,31959,35802,3069,17900,5584,10443,58093,0.5539177061625495,-
Operations,2023,263083,263083,42706,24570,28196,6486,11242,11178,18571,96651,0.9276882463881444,-
Marketing,2024,168922,57274,193988,45423,20468,17639,4423,24584,5198,79414,1.183154742794926,High overtime costs
IT,2023,171280,65748,95503,90263,33849,2660,14833,22726,16055,10139,1.0095078052870599,-
Marketing,2022,489628,463391,181928,27899,42113,4452,17910,9190,10984,58389,0.9740807220211531,-
Marketing,2024,356020,61826,123166,45785,13174,11869,14978,19555,14352,93523,1.1981942829407584,-
HR,2022,406691,395152,29179,72806,24098,4176,17172,14400,6369,70126,1.0542581996375562,Additional training expenses
Operations,2024,254736,179288,189695,66963,12046,3686,13606,20396,19322,50378,1.1792054023621752,-
HR,2022,362371,362371,168659,87875,9186,5237,7421,16014,8571,2973,0.9892245584040074,Increased maintenance
HR,2024,213522,213522,174805,44341,21722,790,2548,16885,15414,82958,0.9658211419872453,Increased maintenance
HR,2024,134433,134433,119423,15597,47621,14827,7252,26169,5488,15388,1.0337972344775843,-
HR,2022,123704,123704,143076,20244,10968,14186,14856,18280,8540,83707,0.6321278022745597,Additional training expenses
HR,2024,56861,56861,155047,13796,45452,8416,12849,19469,19651,14495,1.0640494944128926,Increased maintenance
Marketing,2023,288366,222507,95138,85589,33270,19418,4608,20804,16059,47773,1.1790982302289743,-
HR,2022,374058,256089,196535,38528,46129,14754,13827,9756,15619,53867,0.9281502923294129,-
HR,2023,113888,113888,193226,28648,44273,13067,6745,11025,15069,28943,0.5086487400954425,Increased maintenance
Operations,2022,391430,273023,106706,93967,11387,16609,3062,12455,19240,79871,0.5504646742914248,Additional training expenses
IT,2024,111293,111293,136905,10535,29394,19563,5281,15497,17729,86504,0.6642950556523178,Additional training expenses
Marketing,2024,263596,242949,48830,58469,16291,9003,4762,6062,14056,22703,0.8437683642430138,Increased maintenance
Marketing,2024,118515,118515,130076,74912,35093,14228,9640,15039,19127,36070,0.7896290762385039,-
Marketing,2022,466740,366782,197817,54493,7610,4223,966,25886,7180,33563,1.1854484003773598,Additional training expenses
HR,2023,319209,119072,50609,82417,40241,4066,107,14574,16220,19193,1.161911358582465,High overtime costs
HR,2023,218756,117309,37401,55785,33337,246,11286,26365,16290,16850,0.7749057427479389,-
HR,2022,138720,138720,178801,95017,40456,18002,8814,19713,8328,12727,1.0560215354937865,Additional training expenses
Operations,2022,214437,214437,123480,76561,9804,11637,509,27996,8634,80951,0.9454543441137169,-
IT,2023,371020,235639,138278,40869,39058,8612,6815,26352,5655,76477,0.6701949754486745,High overtime costs
HR,2023,466920,439987,196239,75094,15227,5160,9256,11066,10986,55460,1.1518240791367638,Increased maintenance
IT,2023,238929,85326,77391,40192,36334,1371,16015,26784,14571,15218,0.6816622987061778,High overtime costs
Operations,2023,186694,186694,146543,79157,11511,7728,9630,10684,5235,49120,1.1092403767646806,-
Marketing,2022,395941,317223,148886,96483,45965,4238,3871,15914,5988,28444,0.9463485109801655,Increased maintenance
HR,2022,291540,291540,114583,89941,46482,18996,15953,11838,6382,69187,0.9347889763408357,High overtime costs
IT,2024,141141,141141,157719,67544,44440,18464,13276,28737,14006,23519,1.086886994936207,Additional training expenses
IT,2023,296476,137340,172178,14403,24727,5919,7164,6987,16158,50107,0.8460171436642011,High overtime costs
HR,2024,414534,414534,26015,46091,36139,4324,3500,9067,18582,24281,1.0973617646287401,-
Marketing,2022,409000,397355,41506,62510,24794,7797,18583,26452,14881,19793,0.8851599229742485,Additional training expenses
Marketing,2022,378345,378345,44067,98061,7981,19119,12546,9104,10629,34687,1.189253503089172,High overtime costs
Marketing,2024,475910,354893,150819,15017,17785,9021,7758,17315,16992,19316,0.9619510378510339,-
Operations,2023,401910,217364,22056,49203,19666,3058,15042,20158,7486,56927,0.7618424024434219,Increased maintenance
IT,2023,72995,72995,49328,66473,40583,9041,6070,13877,6665,73915,1.0343547841302339,High overtime costs
IT,2023,404464,386678,97712,62123,10096,5334,18654,29190,15827,46554,0.8569281099726513,Increased maintenance
IT,2023,130141,130141,72832,58260,18950,1153,5385,28038,8986,207,1.0642174988979352,Additional training expenses
Operations,2024,189491,189491,62771,55938,11673,4940,229,17869,13186,73,1.0834238668021983,Increased maintenance
IT,2024,491168,101818,117421,67929,6742,14607,18870,17058,6823,24427,0.9318392339120314,-
Operations,2022,214909,214909,197587,95265,43488,12021,909,16017,18782,40329,1.1105318984176922,Additional training expenses
Marketing,2023,120799,63429,84538,47372,41277,3079,11720,8734,10828,76347,0.7823989168342196,High overtime costs
HR,2023,229949,107748,60151,63252,8534,16786,17361,28188,10430,74777,0.5401639079477195,Increased maintenance
IT,2023,357831,98807,152701,24628,19685,19359,17018,22625,10336,70505,0.9638537228207443,Additional training expenses
IT,2024,280739,280739,103463,22501,10136,12914,4717,8500,9088,40472,1.0351162643607683,Additional training expenses
Marketing,2023,87276,87276,116853,40131,10585,7536,18574,17330,5610,5889,0.5509610597225665,High overtime costs
HR,2024,84523,84523,109432,99102,32358,980,13235,10730,14527,26457,1.0396368193161525,High overtime costs
Operations,2023,247127,247127,48155,99360,13554,6680,5189,26914,8868,40787,0.9474131861807462,High overtime costs
HR,2023,366759,366759,169360,78348,49241,13364,3474,8261,9325,8706,0.5814878720487593,High overtime costs
Marketing,2022,60514,60514,70588,19402,6634,10486,11972,17329,16884,38687,0.877958093538205,Increased maintenance
Marketing,2023,97456,97456,187157,65956,21908,2384,7194,28648,9435,11520,0.576119473084568,Additional training expenses
HR,2023,57233,57233,31251,61920,26310,11544,1865,25227,16758,279,0.7251331248091109,High overtime costs
Operations,2022,313246,216052,122420,36000,20117,12320,298,9825,15403,64305,1.062789448368366,Additional training expenses
Operations,2024,116133,116133,176646,99795,6722,8990,19123,6981,7163,93098,0.5705523221852041,Additional training expenses
IT,2024,358859,58078,29623,77462,13611,10787,3725,22031,13262,54007,0.8215714677728296,-
Operations,2023,422689,141654,74715,76392,8864,1366,4540,25307,6749,25131,0.9239991014580256,-
HR,2024,154085,154085,26123,15988,6067,2938,10297,20876,9945,40229,1.1583580135319211,High overtime costs
Marketing,2023,159101,159101,23061,84279,30976,17646,12464,6982,10172,93491,1.016085834647547,High overtime costs
IT,2022,449472,66997,126393,66999,44206,6187,4814,10255,18908,290,0.597473021571944,-
IT,2022,158684,158684,122035,79674,12271,8495,13596,15749,5341,37648,1.1782079731275608,Additional training expenses
Marketing,2023,376944,376944,59095,91618,49093,9885,15386,7019,18222,11065,0.8345703488331633,High overtime costs
Operations,2022,144937,144937,179523,63426,16828,18700,19906,9674,9683,15402,0.7588021719981259,Increased maintenance
Marketing,2022,91548,91548,101897,68824,36131,15018,6818,13071,16018,89903,0.5900978448127163,High overtime costs
Operations,2023,259272,259272,101443,84399,25386,17305,8162,11980,8831,24107,1.153437580796734,High overtime costs
Marketing,2023,485583,333390,138005,70659,6834,7114,5489,15756,7379,83542,0.9103441547376561,Increased maintenance
HR,2022,440989,201633,54814,47790,7353,6574,6085,24216,11105,13029,1.1915912679240357,High overtime costs
Operations,2024,163815,163815,105141,32118,18878,5529,9037,14212,8869,19935,0.6217061127011734,Additional training expenses
HR,2024,270994,84512,188904,62025,16132,3809,4185,20214,18390,86098,0.8820849049624797,Increased maintenance
IT,2023,177602,177602,160517,69938,13203,13536,4226,28486,17394,68811,0.5769203383782425,Increased maintenance
Marketing,2023,176270,176270,184562,15149,15322,17550,7692,27375,11068,60033,0.8669930787790459,-
IT,2024,438464,370009,49767,48079,16295,8731,19999,15214,19417,5257,1.122854276724606,Additional training expenses
IT,2022,469421,466796,66057,12484,40925,5331,6805,25592,16465,24658,0.5765245963906558,-
IT,2024,337714,337714,192115,65474,27247,17844,3157,8675,7439,57991,0.6887541652094992,Additional training expenses
IT,2024,473471,122144,106755,58601,47394,4687,2105,6779,17517,55914,0.9776813385445713,High overtime costs
Marketing,2024,71182,71182,47946,53809,22340,5357,5176,26080,12906,94358,0.5534009252560158,-
IT,2024,351517,351517,187659,30791,25242,327,993,9537,15259,45999,0.817789447132161,High overtime costs
Marketing,2023,355163,167363,23364,79343,27522,10285,13705,29803,18634,1757,0.733143139388352,High overtime costs
Marketing,2023,243691,243691,97015,36648,49594,10323,19480,22257,16731,21339,1.086703735634825,-
HR,2022,328187,251484,158470,41090,17095,5291,189,16842,12857,22846,0.5343531951813432,-
Operations,2022,488748,231675,153524,27857,45652,8425,19282,26150,17939,27915,1.104376827420639,High overtime costs
Operations,2022,282362,202110,107208,72327,28425,15540,12793,24812,10429,44617,0.9925424253360351,High overtime costs
Marketing,2022,247008,143542,143208,52967,39723,3122,12470,17982,5471,45170,0.7080333694315369,Additional training expenses
HR,2024,331383,331383,184265,63709,15204,4876,7046,26988,19927,76880,0.6384379741454457,High overtime costs
Marketing,2023,191488,191488,45345,77948,9991,19112,15637,16108,13059,88768,1.1651234365337635,Increased maintenance
Marketing,2023,184484,184484,105895,58861,36626,13706,19795,14219,8765,33493,0.8877355883160284,High overtime costs
Marketing,2022,394120,394120,174125,78718,41833,9124,9238,24933,17361,32079,0.7413443364978355,High overtime costs
HR,2022,74406,74406,149022,30948,21067,1823,16989,29696,12826,33875,0.5311279538633797,High overtime costs
Operations,2024,314019,314019,156087,43782,18763,19884,17750,8881,12912,29558,0.6160489753421738,-
HR,2024,480282,255355,159729,60756,49863,4073,11118,14701,13845,11017,0.9187155105437542,-
IT,2022,448968,448968,71116,92789,22408,17614,15411,14434,18747,95017,0.8591767177980727,Increased maintenance
HR,2023,259097,166737,173023,78388,30176,10387,9256,26173,5461,92313,1.030327081591683,High overtime costs
HR,2023,444569,312968,117599,94528,40097,4395,517,28829,6173,20732,1.0843863011271124,Additional training expenses
HR,2023,208058,208058,46521,76809,40794,6051,12425,25736,6667,57238,0.7780223618563868,Additional training expenses
HR,2022,326835,290417,74431,17649,29231,1476,14676,28855,19195,59839,0.5706509410785001,High overtime costs
Operations,2023,250919,167718,30731,39002,6011,18407,10781,16109,19650,95504,1.0540708320500216,High overtime costs
IT,2024,360219,360219,169816,44723,28427,18980,18656,28443,16937,23457,0.8876180702307501,High overtime costs
Operations,2024,60794,60794,83094,84314,43392,7121,16197,10649,19143,94056,1.1858543219072764,High overtime costs
Operations,2022,249542,202755,38423,80085,20229,2430,2308,16973,8321,824,1.0574449413489493,High overtime costs
HR,2024,197478,197478,134612,91399,18244,7954,4792,26392,13831,31573,0.7303509051277719,-
Marketing,2022,388074,388074,168640,21809,21602,11881,17194,12317,9369,14467,0.7999430949558697,Increased maintenance
Marketing,2023,296969,296969,198483,68169,49548,16917,11955,22417,13673,75462,0.6649031814206192,-
Operations,2023,470088,257791,23934,18302,29462,17640,12760,16031,13273,23876,0.8583989479250822,Additional training expenses
Operations,2023,91708,91708,96945,18100,30302,18041,8268,21595,16495,16734,0.9975074720044226,-
HR,2024,427636,304322,150443,78447,28536,12085,18693,18963,9126,21586,0.9287421318339231,-
Operations,2022,418773,418773,116946,87627,27210,18136,7908,27441,7793,30659,0.739458423913614,Increased maintenance
HR,2023,464016,259485,116344,84635,10585,2978,4439,10508,14299,62257,1.0763099354080206,Additional training expenses
Marketing,2022,224469,224469,159244,65020,22195,4332,15371,10017,18283,44245,0.5735411296899987,Additional training expenses
Marketing,2023,173313,173313,47358,15663,19837,3013,13227,13122,11185,25410,0.5997882850987138,High overtime costs
IT,2024,481125,195711,149774,54649,10456,15089,10933,29509,8785,7894,0.7829116967412779,Increased maintenance
Marketing,2024,333496,120210,39763,57136,42289,14008,6389,27863,5250,92099,0.9915703195839891,-
Operations,2022,414119,119852,199745,46104,14775,18148,11420,16268,15626,52154,0.9859299746680854,-
Marketing,2024,405992,405992,105997,49137,19099,17506,12461,19418,6620,2509,0.7565664099014504,-
HR,2024,286668,286668,87975,12534,41805,3830,19942,15391,18283,68208,0.9876255331144309,Additional training expenses
Marketing,2022,458654,59695,158876,77762,46842,2958,17229,9062,14910,85362,0.5424100426769115,Additional training expenses
IT,2023,357143,98582,198666,62445,21815,1540,12240,19046,13457,69694,0.7030153648774022,-
Marketing,2024,68482,68482,107189,19585,17226,8714,1332,12348,5021,64450,0.9856413192918785,Additional training expenses
HR,2022,213543,213543,107507,86438,35072,11199,11229,12942,18718,62190,0.6288289807293281,High overtime costs
HR,2024,359423,334331,87525,46392,14139,7053,12524,12945,7123,64980,0.6488984200259196,-
Operations,2024,421557,421557,119248,94267,35060,5670,6300,24622,6510,53273,0.5608178332543713,-
Marketing,2024,104213,104213,44604,93324,49867,10690,17658,6493,8852,73343,0.7551297113003783,High overtime costs
HR,2024,426053,156683,136585,41126,14859,14262,7166,17699,9775,31171,1.0774490684152211,Additional training expenses
IT,2022,325170,313358,173207,52485,48942,15347,337,22961,16130,24525,1.0854513866759032,-
Operations,2022,288697,288697,188990,55798,7539,10281,3294,22981,19220,26513,1.103653772960584,High overtime costs
IT,2022,397328,94406,149716,78310,48073,18122,16720,7428,12008,5797,0.5256928206422171,Increased maintenance
Marketing,2024,55435,55435,181919,19017,18199,2533,13445,16187,8422,98601,1.1954420941206227,High overtime costs
Marketing,2024,189565,189565,194846,35700,38158,10756,1867,20125,13431,7746,0.8518488672682669,-
Marketing,2024,253299,253299,30680,46507,5082,18802,494,21696,13242,89254,1.1109089212322147,High overtime costs
Operations,2022,371465,370558,133508,57679,46736,5076,4642,15634,8007,69474,1.1335802442950609,Additional training expenses
HR,2024,445979,413584,115619,99938,17281,16868,3886,11686,13667,24316,0.8601487679296004,-
Operations,2023,332533,332533,75037,47232,20120,17048,8352,25459,15196,57077,0.5357628257110987,-
IT,2024,81498,81498,119969,99661,14946,19838,2036,5003,18913,34362,0.918228836489907,Additional training expenses
Operations,2023,375899,375899,131115,34020,15891,17011,14722,12061,18181,16334,0.7338654180458918,Additional training expenses
IT,2024,413689,237313,78914,67172,24640,9876,15556,14077,19860,77093,0.644736670756505,Additional training expenses
Operations,2022,85825,85825,177381,23746,31111,4287,16186,17380,5156,28880,0.6277507127692765,Increased maintenance
HR,2024,329078,256205,127255,73537,43775,14056,9699,26602,11342,44257,0.891484959706511,-
IT,2023,55574,55574,30349,14094,38290,15171,19944,21575,18311,9673,0.5731323720205612,-
Marketing,2023,180698,180698,185625,78466,35604,9436,2281,7380,12598,62346,1.075151187892701,-
Marketing,2024,219251,219251,48525,40755,39462,5166,10060,22619,9761,69915,0.6591053456124947,High overtime costs
Operations,2023,444803,375472,25948,21552,23636,10366,1601,12762,15975,48613,0.8845035952239615,-
Marketing,2023,92782,92782,34498,69491,9837,10966,12019,17914,7019,32721,0.5878221458563436,-
IT,2022,497628,324025,170063,29779,16801,12983,11672,16225,10237,35950,1.1017404375358462,Additional training expenses
Marketing,2024,110561,110561,79790,39000,28710,12310,1299,29315,14878,20829,0.9844611669027219,Additional training expenses
HR,2024,447625,213249,158732,95639,46237,11390,14794,17860,12923,95564,0.6445653141638693,Additional training expenses
HR,2024,439303,172196,46245,63953,36621,13064,14748,7403,9170,60495,1.0010185297601728,-
Operations,2023,76751,76751,151310,67564,45916,10236,16026,11021,10047,73107,0.5580300934737136,Additional training expenses
IT,2024,350318,116126,170992,24102,18065,7476,18430,28804,17050,28363,1.0405516770177639,Increased maintenance
HR,2024,434822,368675,66659,11861,33230,707,15017,11734,7414,47068,0.8432427448385893,Additional training expenses
HR,2022,106572,76119,145983,53574,41388,8624,2881,17483,15995,42733,0.5841285659989317,Increased maintenance
IT,2022,373560,167744,94874,42682,15631,16325,18201,29837,16441,83271,0.8853347798059288,High overtime costs
Marketing,2022,455257,166894,62517,88819,34828,47,18582,7369,7155,91429,0.6406064133173721,Increased maintenance
Marketing,2023,466443,208987,146618,87972,14131,1914,3332,7467,15018,5613,0.9709408769928959,Increased maintenance
Operations,2024,347345,347345,95885,75185,19307,17489,1103,15126,18790,26606,0.9960337278452105,High overtime costs
Marketing,2022,86069,86069,66350,84426,8709,19564,3177,25811,8757,16595,1.0325880375621792,Increased maintenance
IT,2022,263262,94989,97179,58120,25721,15390,11666,18607,5092,1274,1.126409348566113,-
HR,2022,338514,334250,179346,48297,37194,16951,2177,6259,11243,37030,0.958457669704696,-
Marketing,2024,276090,276090,65013,18299,10094,8671,17578,17968,17468,93726,0.8442383778315297,Additional training expenses
Operations,2024,437486,358697,59913,51348,14415,17250,6041,7054,13862,55119,1.097957945384966,Additional training expenses
Marketing,2024,308245,56553,65819,51384,18530,11452,8727,21917,7143,85654,1.1298908523687907,Additional training expenses
IT,2023,454802,67881,102168,86693,12472,1028,14532,7119,13423,73311,1.047227365234071,Additional training expenses
Operations,2023,231303,51379,112680,42687,41131,1813,7060,22907,19586,97552,1.1596997311169612,-
Marketing,2022,437902,402935,114792,74577,24407,5513,12561,15857,10971,32279,1.1856037611784171,Additional training expenses
Operations,2024,448538,417808,174557,70047,23201,19910,16647,15378,17181,54690,0.6759182337735811,Increased maintenance
IT,2022,377438,119306,153932,20191,32948,1050,15956,24841,6602,79477,0.6285863189781196,High overtime costs
HR,2024,129468,129468,69875,66884,28115,6278,6968,7589,7951,44423,0.8140146531814882,Increased maintenance
IT,2024,210371,210371,165991,64911,32961,11798,18436,9419,14964,35253,1.1978487048675655,High overtime costs
IT,2024,140715,140715,93947,87303,7017,18036,4946,12092,15258,23638,0.5619313462360703,-
IT,2023,120793,120793,29586,93447,9223,14727,15068,11744,6310,69906,0.9983958032623721,High overtime costs
IT,2023,489717,489717,71986,53726,39952,4708,13732,6940,12967,19782,1.0955849529146733,Additional training expenses
HR,2024,238206,154512,109848,44623,28075,9476,4089,25120,19542,22639,1.1975133514370282,-
HR,2022,161672,161672,43055,93517,11531,5318,357,21456,19646,37655,0.9337987302074257,Additional training expenses
Operations,2024,452993,149599,185962,60000,9666,5859,13999,24271,11246,22829,0.7660661118749051,Increased maintenance
Marketing,2024,192321,131397,48807,81494,28781,12673,5505,18700,5158,332,0.6165456485156893,Increased maintenance
HR,2022,170902,170902,67177,90241,49023,6593,8942,10357,8778,41986,1.1872334484575742,Additional training expenses
HR,2024,71390,67769,88625,73027,40236,19979,15840,6345,6586,52385,1.1469422772293627,High overtime costs
Marketing,2022,70369,70369,165314,68995,45059,4910,3250,14978,5377,84044,1.0631631770014347,Increased maintenance
HR,2023,193953,151584,76317,52876,45023,3254,2258,18616,8295,18616,1.1606422729272594,High overtime costs
IT,2023,321731,321731,191050,61070,41688,4453,9102,14223,13905,53109,0.5425980850735881,Increased maintenance
IT,2022,274872,274872,36433,76224,9236,18807,583,23390,17379,92729,0.9420449911307098,Additional training expenses
Marketing,2023,419153,183858,53282,35365,6939,7937,19822,14422,15415,5282,0.6923574075519621,Additional training expenses
